Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
United,Boise,5708,下午02:17,下午02:17,On Time,3,77A
Delta Air Lines,Detroit,2773,下午02:12,下午02:12,On Time,1,46
United,Zurich,44,下午02:20,下午02:20,On Time,Int'l,G97
United,Denver,720,下午02:20,下午02:20,On Time,3,67
United,Fresno,5452,下午02:25,下午02:25,On Time,3,84C
United,Las Vegas,943,下午02:39,下午02:39,On Time,3,63
Alaska Airlines,Seattle,1747,下午02:25,下午02:25,On Time,2,51B
Frontier Airlines,Las Vegas,2080,下午02:33,下午02:33,On Time,Int'l,A10
Alaska Airlines,Las Vegas,1910,下午02:35,下午02:35,On Time,2,59A
American Airlines,Los Angeles,1851,下午02:38,下午02:55,,2,45A
United,Phoenix,1591,下午02:39,下午02:39,On Time,3,73A
United,Paris/De Gaulle,990,下午02:50,下午02:50,On Time,Int'l,G92
Alaska Airlines,San Diego,1948,下午02:45,下午02:45,On Time,2,51A
Air China,Beijing,986,下午02:50,下午02:50,On Time,Int'l,G99
United,Houston/Intercontinental,1735,下午02:50,下午02:50,On Time,3,68
United,Burbank,5717,下午02:50,下午03:10,,3,84C
United,Raleigh/Durham,1925,下午03:00,下午03:00,On Time,3,66
Lufthansa,San Francisco,455,下午02:55,下午02:55,On Time,Int'l,G99A
United,Chicago/O'Hare,390,下午03:10,下午03:44,,3,74
American Airlines,Dallas-Fort Worth,139,下午03:08,下午03:08,On Time,2,57
JetBlue,Long Beach,1635,下午03:09,下午06:55,,1,B7
United,San Diego,671,下午03:10,下午03:10,On Time,3,73
United,Amsterdam,968,下午03:10,下午03:10,On Time,Int'l,G91
United,Newark,2044,下午03:15,下午03:15,On Time,3,87
Delta Air Lines,Atlanta,619,下午03:11,下午03:11,On Time,1,42
Alaska Airlines,New York/JFK,326,下午03:15,下午03:15,On Time,2,54B
United,Ontario,5422,下午03:18,下午03:18,On Time,3,84B
Air France,Paris/De Gaulle,83,下午03:20,下午03:20,On Time,Int'l,A7
Southwest,San Diego,1915,下午03:20,下午03:20,On Time,1,B18
United,Santa Barbara,5505,下午03:23,下午03:23,On Time,3,84D
United,Los Angeles,215,下午03:33,下午03:33,On Time,3,62
Delta Air Lines,Los Angeles,1327,下午03:25,下午03:25,On Time,1,46
United,Houston/Intercontinental,810,下午04:04,下午04:04,On Time,3,75
Alaska Airlines,Orange County,2564,下午03:35,下午05:17,,2,50B
Southwest,Burbank,1154,下午03:40,下午03:40,On Time,1,B13
Delta Air Lines,Minneapolis,1411,下午03:40,下午03:40,On Time,1,41
JetBlue,New York/JFK,616,下午03:41,下午03:41,On Time,1,B6
American Airlines,Dallas-Fort Worth,1671,下午03:43,下午03:43,On Time,2,56B
Southwest,Phoenix,2031,下午03:45,下午03:45,On Time,1,B9
WestJet,Vancouver,1775,下午03:50,下午03:50,On Time,Int'l,A2
Alaska Airlines,Washington/Dulles,1088,下午03:50,下午03:50,On Time,2,52
Alaska Airlines,Los Angeles,1932,下午04:00,下午04:00,On Time,2,54A
United,Orange County,5457,下午04:04,下午04:04,On Time,3,71B
United,San Luis Obispo,5701,下午04:04,下午04:04,On Time,3,78
United,Redmond,5782,下午04:05,下午04:05,On Time,3,73A
Southwest,Los Angeles,1130,下午04:05,下午04:05,On Time,1,B14
United,Medford,5993,下午04:05,下午04:05,On Time,3,71A
American Airlines,Phoenix,1825,下午04:05,下午04:05,On Time,2,56A
United,Denver,2242,下午04:06,下午04:06,On Time,3,90
Japan Airlines,Tokyo/Haneda,1,下午04:05,下午04:05,On Time,Int'l,A8
United,Boston,444,下午04:10,下午04:10,On Time,3,88
United,Vancouver,1542,下午04:10,下午04:10,On Time,3,67
United,Eureka,5555,下午04:10,下午04:10,On Time,3,84B
Alaska Airlines,Kansas City,3426,下午04:10,下午04:10,On Time,2,55
Alaska Airlines,Seattle,357,下午04:10,下午04:10,On Time,2,51B
Delta Air Lines,Seattle,2002,下午04:10,下午04:25,,1,48
United,Newark,213,下午04:15,下午04:15,On Time,3,81
Delta Air Lines,New York/JFK,430,下午04:15,下午04:15,On Time,1,43
United,PAE,5898,下午04:15,下午04:15,On Time,3,76
United,Sacramento,5473,下午04:20,下午04:20,On Time,3,79
United,Redding,5753,下午04:20,下午04:20,On Time,3,77A
United,San Diego,750,下午04:21,下午04:21,On Time,3,63
Air Canada,Toronto,750,下午04:20,下午04:20,On Time,Int'l,G101A
United,Reno,1716,下午04:25,下午04:25,On Time,3,61
United,Washington/Dulles,517,下午04:30,下午04:30,On Time,3,74
KLM Royal Dutch Airlines,Amsterdam,608,下午04:30,下午04:30,On Time,Int'l,
British Airways,London/Heathrow,284,下午04:30,下午04:30,On Time,Int'l,A4
United,Shanghai,891,下午04:30,下午04:30,On Time,Int'l,G95
United,Portland,612,下午04:32,下午04:32,On Time,3,64
United,Honolulu/Oahu,1509,下午04:35,下午04:35,On Time,3,86
United,Chicago/O'Hare,2224,下午04:45,下午04:45,On Time,Int'l,G92
United,Austin,5465,下午04:45,下午04:45,On Time,3,70
